,Pittsburgh,New_York,Dallas
FMPC 114: tape measure protein ,0.423925339,0.415238095,0.5
FMPC 115: methylmalonyl-CoA mutase family protein ,0.509615385,0.404761905,0.5
FMPC 116: SNF2-related protein ,0.469457014,0.508571429,0.530612245
FMPC 117: tape measure protein ,0.515837104,0.259047619,0.734693878
FMPC 118: *hhblits annotated* Transcriptional regulator  db:Pdp70 e-value:5e-271 ,0.5,0.5,0.5
FMPC 119: VaFE repeat-containing surface-anchored protein ,0.5,0.5,0.428571429
FMPC 120: fibrinogen-binding MSCRAMM adhesin Fss3 ,0.468042986,0.5,0.693877551
FMPC 121: type I restriction endonuclease subunit R ,0.426470588,0.479047619,0.510204082
FMPC 122: PAS domain-containing hybrid sensor histidine kinase/response regulator ,0.618778281,0.554285714,0.612244898
FMPC 123: glucosaminidase domain-containing protein ,0.5,0.52,0.357142857
FMPC 124: DEAD/DEAH box helicase ,0.512443439,0.573333333,0.755102041
FMPC 125: *hhblits annotated* Lipoprotein (Fragment)  db:Pdp70 e-value:1.2e-55 ,0.445135747,0.432380952,0.489795918
FMPC 126: tape measure protein ,0.525452489,0.5,0.591836735
FMPC 127: *hhblits annotated* Cellobiose phosphorylase  db:Pdp70 e-value:6.2e-307 ,0.442307692,0.460952381,0.408163265
FMPC 128: CusA/CzcA family heavy metal efflux RND transporter ,0.412330317,0.375238095,0.469387755
FMPC 129: DEAD/DEAH box helicase ,0.55260181,0.359047619,0.755102041
FMPC 130: DEAD/DEAH box helicase ,0.553167421,0.537142857,0.428571429
FMPC 131: HsdR family type I site-specific deoxyribonuclease ,0.520361991,0.458095238,0.448979592
FMPC 132: carboxypeptidase-like regulatory domain-containing protein ,0.507352941,0.5,0.5
FMPC 133: Cu(+)/Ag(+) efflux RND transporter permease subunit SilA ,0.5260181,0.542857143,0.428571429
FMPC 134: *hhblits annotated* YD repeat protein  db:Pdp70 e-value:2.1e-52 ,0.490667421,0.59047619,0.418367347
FMPC 135: TonB-dependent receptor ,0.517533937,0.447619048,0.510204082
FMPC 136: SMC family ATPase ,0.643099548,0.283809524,0.571428571
FMPC 137: type I restriction endonuclease subunit R ,0.517533937,0.422857143,0.448979592
FMPC 138: MMPL family transporter ,0.522058824,0.5,0.571428571
FMPC 139: efflux RND transporter permease subunit ,0.440045249,0.403809524,0.367346939
FMPC 140: TonB-dependent receptor ,0.462104072,0.596190476,0.408163265
FMPC 141: isoleucine--tRNA ligase ,0.706447964,0.598095238,0.775510204
FMPC 142: efflux RND transporter permease subunit ,0.341063348,0.257142857,0.346938776
FMPC 143: HsdR family type I site-specific deoxyribonuclease ,0.455316742,0.382857143,0.346938776
FMPC 144: molybdopterin-dependent oxidoreductase ,0.51611991,0.506666667,0.571428571
FMPC 145: PD-(D/E)XK nuclease-like domain-containing protein ,0.488687783,0.52,0.56122449
FMPC 146: HsdR family type I site-specific deoxyribonuclease ,0.497737557,0.514285714,0.673469388
FMPC 147: efflux RND transporter permease subunit ,0.428167421,0.39047619,0.418367347
FMPC 148: host specificity factor TipJ family phage tail protein ,0.556561086,0.506666667,0.581632653
FMPC 149: GNAT family N-acetyltransferase ,0.5,0.5,0.5
FMPC 150: conjugative relaxase ,0.45361991,0.405714286,0.571428571
FMPC 151: DEAD/DEAH box helicase family protein ,0.512443439,0.643809524,0.591836735
FMPC 152: virulence factor SrfB ,0.517251131,0.514285714,0.346938776
FMPC 153: phage tail tape measure protein ,0.433823529,0.47047619,0.428571429
FMPC 154: efflux RND transporter permease subunit ,0.464366516,0.314285714,0.836734694
FMPC 155: efflux RND transporter permease subunit ,0.5,0.5,0.5
FMPC 156: efflux RND transporter permease subunit ,0.5,0.5,0.571428571
FMPC 157: DUF4981 domain-containing protein ,0.667986425,0.678095238,0.734693878
FMPC 158: DUF4981 domain-containing protein ,0.648190045,0.733333333,0.714285714
FMPC 159: DEAD/DEAH box helicase family protein ,0.516402715,0.417142857,0.571428571
FMPC 160: Tn3 family transposase ,0.494626697,0.42,0.285714286
FMPC 161: efflux RND transporter permease subunit ,0.5,0.476190476,0.5
FMPC 162: S8 family serine peptidase ,0.5,0.5,0.5
FMPC 163: Tn3 family transposase ,0.5,0.476190476,0.5
FMPC 164: DEAD/DEAH box helicase family protein ,0.367081448,0.451428571,0.530612245
FMPC 165: exonuclease domain-containing protein ,0.669117647,0.525714286,0.836734694
FMPC 166: AAA family ATPase ,0.455316742,0.420952381,0.693877551
FMPC 167: Tn3 family transposase ,0.580316742,0.561904762,0.653061224
FMPC 168: Tn3 family transposase ,0.518947964,0.526666667,0.683673469
FMPC 169: *hhblits annotated* Verru_Chthon cassette protein A db:Uniclust30_2023 e-value:8.7e-97 ,0.353506787,0.304761905,0.326530612
FMPC 170: UPF0182 family protein ,0.521493213,0.377142857,0.551020408
FMPC 171: methyltransferase domain-containing protein ,0.5,0.5,0.5
FMPC 172: protein translocase subunit SecDF ,0.408371041,0.346666667,0.346938776
FMPC 173: formate dehydrogenase subunit alpha ,0.490384615,0.428571429,0.285714286
FMPC 174: tape measure protein ,0.34841629,0.600952381,0.714285714
FMPC 175: *hhblits annotated* DdrB  db:Pdp70 e-value:1.8e-126 ,0.542420814,0.5,0.5
FMPC 176: Tn3 family transposase ,0.463800905,0.408571429,0.530612245
FMPC 177: type I restriction endonuclease subunit R ,0.466063348,0.605714286,0.530612245
FMPC 178: tape measure protein ,0.517251131,0.52,0.5
FMPC 179: lamin tail domain-containing protein ,0.47341629,0.327619048,0.520408163
FMPC 180: alkaline phosphatase family protein ,0.483031674,0.476190476,0.357142857
FMPC 181: type 2 lanthipeptide synthetase LanM family protein ,0.490384615,0.5,0.428571429
FMPC 182: glycoside hydrolase family 42 ,0.641402715,0.451428571,0.346938776
FMPC 183: glycosyl hydrolase 115 family protein ,0.337669683,0.24952381,0.489795918
FMPC 184: terminase ,0.573529412,0.5,0.5
FMPC 185: *hhblits annotated* Membrane Spanning Protein  db:Pdp70 e-value:2.7e-38 ,0.518665158,0.54,0.5
FMPC 186: toxin Cry1Ac domain D-VI-related protein ,0.5,0.5,0.5
FMPC 187: SusC/RagA family TonB-linked outer membrane protein ,0.431561086,0.39047619,0.408163265
FMPC 188: lantibiotic dehydratase ,0.5,0.5,0.346938776
FMPC 189: nan,0.494909502,0.525714286,0.510204082
FMPC 190: phosphoenolpyruvate synthase ,0.451357466,0.472380952,0.489795918
FMPC 191: Tn3 family transposase ,0.445701357,0.422857143,0.489795918
FMPC 192: caspase family protein ,0.507352941,0.5,0.5
FMPC 193: Tn3 family transposase ,0.503959276,0.413333333,0.5
FMPC 194: glycoside hydrolase family 16 protein ,0.5,0.201904762,0.489795918
FMPC 195: HsdR family type I site-specific deoxyribonuclease ,0.465214932,0.48,0.530612245
FMPC 196: penicillin-binding protein ,0.546097285,0.516190476,0.551020408
FMPC 197: EAL domain-containing protein ,0.353789593,0.311428571,0.673469388
FMPC 198: Tn3 family transposase ,0.445984163,0.19047619,0.653061224
FMPC 199: DNA adenine methylase ,0.463235294,0.332380952,0.489795918
FMPC 200: Tn3 family transposase ,0.540158371,0.497142857,0.530612245
FMPC 201: glycosyl hydrolase 115 family protein ,0.441742081,0.592380952,0.673469388
FMPC 202: response regulator ,0.522058824,0.544761905,0.346938776
FMPC 203: *hhblits annotated* Tetratricopeptide repeat protein  db:Pdp70 e-value:1.7e-175 ,0.530542986,0.726666667,0.632653061
"FMPC 204: *hhblits annotated* bacteriophage T7 core proteins, VIRUS db:Uniclust30 e-value:7.1e-60 ",0.457579186,0.506666667,0.357142857
FMPC 205: phage tail protein ,0.470022624,0.319047619,0.693877551
FMPC 206: excinuclease ABC subunit UvrA ,0.543552036,0.415238095,0.551020408
FMPC 207: molybdopterin-dependent oxidoreductase ,0.507352941,0.452380952,0.5
FMPC 208: lysozyme family protein ,0.490950226,0.438095238,0.775510204
FMPC 209: ABC transporter permease subunit ,0.527714932,0.406666667,0.469387755
FMPC 210: *hhblits annotated* Refinement of Adenovirus Type 5 db:Uniclust30 e-value:0.0 ,0.5,0.5,0.5
FMPC 211: conjugative transfer ATPase ,0.46719457,0.533333333,0.408163265
FMPC 212: 2-oxoglutarate dehydrogenase E1 component ,0.597850679,0.451428571,0.469387755
FMPC 213: *hhblits annotated* ATPase involved in DNA repair  db:Pdp70 e-value:3.6e-130 ,0.475113122,0.452380952,0.489795918
FMPC 214: conjugal transfer mating pair stabilization protein TraG ,0.522341629,0.459047619,0.265306122
FMPC 215: DEAD/DEAH box helicase ,0.580316742,0.44,0.448979592
FMPC 216: phage tail tape measure protein ,0.421097285,0.247619048,0.581632653
FMPC 217: phage tail tip lysozyme ,0.458710407,0.497142857,0.510204082
FMPC 218: carbohydrate-binding protein ,0.5,0.5,0.5
FMPC 219: ATP-dependent DNA helicase DinG ,0.5,0.5,0.5
FMPC 220: S-layer homology domain-containing protein ,0.474547511,0.564761905,0.510204082
FMPC 221: TonB-dependent receptor ,0.5,0.5,0.5
FMPC 222: heat shock survival AAA family ATPase ClpK ,0.563914027,0.405714286,0.489795918
FMPC 223: Ti-type conjugative transfer relaxase TraA ,0.484162896,0.273333333,0.387755102
FMPC 224: 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase ,0.463800905,0.485714286,0.489795918
FMPC 225: VWA domain-containing protein ,0.5,0.5,0.5
FMPC 226: DNA translocase FtsK ,0.616515837,0.441904762,0.591836735
FMPC 227: isoleucine--tRNA ligase ,0.490384615,0.363809524,0.510204082
FMPC 228: DEAD/DEAH box helicase ,0.562782805,0.24,0.673469388
FMPC 229: DUF859 family phage minor structural protein ,0.5,0.5,0.5
FMPC 230: preprotein translocase subunit SecA ,0.556561086,0.35047619,0.448979592
FMPC 231: phosphoenolpyruvate carboxylase ,0.5,0.5,0.5
FMPC 232: phage tail tape measure protein ,0.503676471,0.472380952,0.5
FMPC 233: TOPRIM and DUF927 domain-containing protein ,0.558823529,0.375238095,0.489795918
FMPC 234: tetratricopeptide repeat protein ,0.5,0.476190476,0.5
FMPC 235: VirB3 family type IV secretion system protein ,0.541855204,0.52,0.285714286
FMPC 236: *hhblits annotated* PKD domain-containing protein (Fragment)  db:Pdp70 e-value:2.6e-34 ,0.5,0.5,0.5
FMPC 237: S-layer homology domain-containing protein ,0.5,0.5,0.428571429
FMPC 238: dynamin family protein ,0.507352941,0.476190476,0.714285714
FMPC 239: alpha-mannosidase ,0.543834842,0.666666667,0.632653061
FMPC 240: sigma 54-interacting transcriptional regulator ,0.557126697,0.546666667,0.693877551
FMPC 241: *hhblits annotated* Phage tail length tape-measure protein  db:Pdp70 e-value:6.7e-262 ,0.5,0.5,0.5
FMPC 242: hsp70 family protein ,0.5,0.476190476,0.5
FMPC 243: SusC/RagA family TonB-linked outer membrane protein ,0.391402715,0.379047619,0.469387755
FMPC 244: sigma 54-interacting transcriptional regulator ,0.515837104,0.546666667,0.642857143
FMPC 245: family 78 glycoside hydrolase catalytic domain ,0.522624434,0.31047619,0.612244898
FMPC 246: PHP domain-containing protein ,0.494909502,0.428571429,0.571428571
FMPC 247: phage tail tape measure protein ,0.42760181,0.299047619,0.510204082
FMPC 248: type VI secretion system tip protein VgrG ,0.507918552,0.426666667,0.367346939
FMPC 249: *hhblits annotated* Ribonuclease HII  db:Pdp70 e-value:8.9e-38 ,0.5,0.5,0.5
FMPC 250: IPT/TIG domain-containing protein ,0.5,0.5,0.5
FMPC 251: phage tail tip lysozyme ,0.496040724,0.58,0.346938776
FMPC 252: sigma 54-interacting transcriptional regulator ,0.507352941,0.54,0.673469388
FMPC 253: DUF11 domain-containing protein ,0.5,0.5,0.5
FMPC 254: toprim domain-containing protein ,0.482748869,0.459047619,0.510204082
FMPC 255: AAA family ATPase ,0.524321267,0.51047619,0.591836735
FMPC 256: DNA methylase ,0.509615385,0.253333333,0.612244898
FMPC 257: tape measure protein ,0.468608597,0.494285714,0.795918367
FMPC 258: virulence factor SrfC family protein ,0.51300905,0.491428571,0.357142857
FMPC 259: 2-oxoglutarate dehydrogenase E1 component ,0.393099548,0.262857143,0.602040816
FMPC 260: aconitate hydratase AcnA ,0.334276018,0.278095238,0.224489796
"FMPC 261: beta-galactosidase, partial ",0.457013575,0.382857143,0.428571429
FMPC 262: phosphoenolpyruvate carboxylase ,0.440893665,0.420952381,0.551020408
FMPC 263: TcfC E-set like domain-containing protein ,0.503676471,0.497142857,0.448979592
FMPC 264: *hhblits annotated* DNA polymerase  db:Pdp70 e-value:0.0 ,0.544117647,0.52,0.428571429
FMPC 265: transglycosylase SLT domain-containing protein ,0.39479638,0.339047619,0.448979592
FMPC 266: DEAD/DEAH box helicase family protein ,0.321266968,0.453333333,0.428571429
FMPC 267: *hhblits annotated* Phosphoesterase  db:Pdp70 e-value:1.7e-55 ,0.549208145,0.445714286,0.510204082
FMPC 268: two-component system sensor histidine kinase KdpD ,0.483597285,0.295238095,0.571428571
FMPC 269: MMPL family transporter ,0.602375566,0.447619048,0.326530612
FMPC 270: surface exclusion protein SEA1/PrgA ,0.412330317,0.401904762,0.428571429
"FMPC 271: pyruvate, phosphate dikinase ",0.51300905,0.47047619,0.510204082
FMPC 272: penicillin-binding protein 1A ,0.5,0.5,0.5
FMPC 273: glycoside hydrolase family 3 protein ,0.560520362,0.64952381,0.530612245
FMPC 274: valine--tRNA ligase ,0.537330317,0.500952381,0.530612245
FMPC 275: TonB-dependent receptor ,0.488404977,0.5,0.5
"FMPC 276: pyruvate dehydrogenase (acetyl-transferring), homodimeric type ",0.452488688,0.42,0.489795918
FMPC 277: HAD-IC family P-type ATPase ,0.505090498,0.542857143,0.408163265
FMPC 278: EAL domain-containing protein ,0.640271493,0.331428571,0.714285714
FMPC 279: DNA mismatch repair protein MutS ,0.489253394,0.468571429,0.551020408
FMPC 280: ATP-binding protein ,0.5,0.5,0.5
FMPC 281: DEAD/DEAH box helicase family protein ,0.345022624,0.340952381,0.387755102
FMPC 282: Z1 domain-containing protein ,0.515837104,0.425714286,0.489795918
FMPC 283: alpha-mannosidase ,0.469457014,0.518095238,0.428571429
FMPC 284: beta-N-acetylglucosaminidase LytD ,0.468891403,0.371428571,0.673469388
FMPC 285: alanine--tRNA ligase ,0.626696833,0.52,0.489795918
FMPC 286: BREX-1 system phosphatase PglZ type A ,0.549208145,0.512380952,0.387755102
FMPC 287: type IV secretion system protein TraC ,0.54638009,0.445714286,0.510204082
FMPC 288: ATP-dependent chaperone ClpB ,0.610294118,0.407619048,0.489795918
FMPC 289: relaxase/mobilization nuclease domain-containing protein ,0.416855204,0.404761905,0.632653061
FMPC 290: DNA polymerase I ,0.653846154,0.64952381,0.591836735
"FMPC 291: calcium-translocating P-type ATPase, PMCA-type ",0.543552036,0.504761905,0.571428571
FMPC 292: GW dipeptide domain-containing protein ,0.51668552,0.5,0.489795918
FMPC 293: aminopeptidase N ,0.470588235,0.277142857,0.448979592
FMPC 294: phage tail tip lysozyme ,0.504807692,0.52952381,0.551020408
FMPC 295: *hhblits annotated* FtsK/SpoIIIE family protein  db:Pdp70 e-value:0.0 ,0.480769231,0.5,0.5
FMPC 296: bifunctional glycosyltransferase family 2 protein/CDP-glycerol:glycerophosphate glycerophosphotransferase ,0.692307692,0.491428571,0.673469388
FMPC 297: type IV secretory system conjugative DNA transfer family protein ,0.526866516,0.54,0.571428571
FMPC 298: bifunctional acetaldehyde-CoA/alcohol dehydrogenase ,0.470022624,0.516190476,0.510204082
FMPC 299: carboxypeptidase-like regulatory domain-containing protein ,0.5,0.5,0.5
FMPC 300: TraG family conjugative transposon ATPase ,0.366515837,0.500952381,0.408163265
FMPC 301: DUF5696 domain-containing protein ,0.527714932,0.613333333,0.387755102
FMPC 302: TonB-dependent receptor ,0.458144796,0.568571429,0.357142857
FMPC 303: replication endonuclease ,0.474547511,0.407619048,0.663265306
"FMPC 304: endo-1,4-beta-xylanase ",0.522058824,0.518095238,0.489795918
FMPC 305: ATP-binding protein ,0.5,0.5,0.5
FMPC 306: BREX-1 system phosphatase PglZ type A ,0.485294118,0.495238095,0.357142857
FMPC 307: glucosaminidase domain-containing protein ,0.406108597,0.44,0.5
FMPC 308: ATP-dependent RecD-like DNA helicase ,0.654411765,0.51047619,0.448979592
FMPC 309: ATP-binding protein ,0.5,0.5,0.5
FMPC 310: DNA translocase FtsK ,0.382918552,0.460952381,0.489795918
FMPC 311: *hhblits annotated* C24 PROTEIN db:Uniclust30 e-value:3.3e-08 ,0.369343891,0.417142857,0.428571429
FMPC 312: phage tail tape measure protein ,0.436934389,0.276190476,0.571428571
FMPC 313: *hhblits annotated* Putative secreted protein  db:Pdp70 e-value:2e-51 ,0.514705882,0.5,0.5
FMPC 314: YhgE/Pip domain-containing protein ,0.5,0.5,0.5
FMPC 315: phage tail tip lysozyme ,0.5,0.5,0.5
FMPC 316: DEAD/DEAH box helicase ,0.658936652,0.567619048,0.775510204
FMPC 317: glycosyltransferase ,0.522058824,0.380952381,0.653061224
FMPC 318: AAA family ATPase ,0.488404977,0.5,0.428571429
"FMPC 319: phage/plasmid primase, P4 family ",0.477941176,0.397142857,0.540816327
FMPC 320: CoA-disulfide reductase ,0.468891403,0.363809524,0.632653061
FMPC 321: *hhblits annotated* Putative membrane protein  db:Pdp70 e-value:4.5e-47 ,0.524886878,0.5,0.642857143
FMPC 322: AAA family ATPase ,0.523755656,0.624761905,0.489795918
FMPC 323: phage tail protein ,0.536764706,0.497142857,0.642857143
FMPC 324: DNA gyrase subunit A ,0.699660633,0.504761905,0.755102041
FMPC 325: NADH-quinone oxidoreductase subunit G ,0.673359729,0.382857143,0.489795918
FMPC 326: vitamin B12-dependent ribonucleotide reductase ,0.600678733,0.471428571,0.367346939
FMPC 327: *hhblits annotated* Phage-related protein  db:Pdp70 e-value:6.5e-187 ,0.549208145,0.563809524,0.387755102
FMPC 328: glycosyltransferase ,0.5,0.5,0.5
FMPC 329: AAA family ATPase ,0.514705882,0.476190476,0.5
FMPC 330: VirB4 family type IV secretion/conjugal transfer ATPase ,0.444570136,0.208571429,0.775510204
