,ERR2162200,ERR2162201,ERR2162202,ERR2162203,ERR2162204,ERR2162205,ERR2162206,ERR2162207,ERR2162208,ERR2162209,ERR2162210,ERR2162211,ERR2162212,ERR2162213,ERR2162214,ERR2162215,ERR2162216,ERR2162217,ERR2162218,ERR2162219,ERR2162220,ERR2162221,ERR2162222,ERR2162223,ERR2162224
FMPC 2549: conjugative transposon protein TraM ,266.9109832,212.9614335,137.0233287,405.1733563,104.5491272,145.8402678,301.0790165,238.9554072,134.6486663,235.2770406,216.7856418,213.6653558,173.2247833,309.3482095,171.3747006,338.2890379,177.0749477,186.0525465,158.0974232,121.5664894,81.00049594,47.70625381,246.0742834,71.41237645,85.06157376
FMPC 3085: U32 family peptidase ,6.586859028,12.53770923,41.31839504,11.36966051,11.03780821,20.70214745,18.70861368,18.91940212,9.273396701,14.34555144,14.02443321,9.556511939,22.46378153,7.447593519,12.98936028,8.06168251,5.205352794,13.30002318,19.27452094,18.43865624,9.388431234,46.7052391,15.35852005,4.661382275,24.23719783
FMPC 3221: relaxase/mobilization nuclease domain-containing protein ,359.5361313,246.479149,197.6076265,378.5293034,146.4059842,233.3675593,388.9539307,256.9232417,147.0834482,322.0501323,270.2668759,284.0844279,273.6449476,413.9372478,164.3251985,339.1116585,243.327005,224.9920588,194.792403,194.0653255,111.7367754,73.52189641,296.768665,61.15733545,119.8266236
FMPC 3310: site-specific integrase ,533.0855474,300.1146787,197.6796935,577.6706299,162.2805848,193.4436415,248.2873839,226.9768508,220.3485512,228.1292571,243.857682,301.8793122,238.9947607,267.1948301,187.3013534,454.8818067,227.6877084,349.8644986,181.9298469,216.3938644,115.8099102,55.34557662,289.333489,149.2388149,99.17583694
FMPC 4252: undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase ,0,10.81332515,0,0,0,3.770335234,0.481607877,12.53830199,0,0,9.698488641,0,1.098345546,0.397204988,0,2.08397235,0,0,8.729542549,2.389061773,0,0,0,1.193313862,67.18736343
FMPC 4285: DNA replication/repair protein RecF ,1.472838044,3.053596803,8.696080816,2.584013752,2.48040634,5.181319585,6.779557035,5.037710622,3.582903271,7.84756647,3.523551628,2.686976832,8.080685091,3.947224565,6.462043555,3.23564128,2.509723669,6.206677484,7.145864476,5.023155522,3.350947764,15.3313306,7.547830149,1.752679735,9.89155329
FMPC 4368: DNA polymerase III subunit beta ,4.377601963,5.532398914,22.67707262,6.259055533,6.883127594,14.80377024,10.66946681,11.41881074,5.980287077,12.1712257,9.558942041,5.373953663,13.75547041,7.819973195,9.954158002,6.800330825,4.066681871,11.7114093,18.07710581,12.77229178,7.481857507,13.40832865,14.19442685,3.169739947,16.74622618
FMPC 4972: thioredoxin-disulfide reductase ,9.655271619,18.89637551,7.687143263,5.857097838,6.449056484,12.65259738,13.41092703,22.72567236,8.377670883,11.99627995,20.82732992,11.38162828,6.668526532,11.34516746,14.26218704,12.9974065,11.36347106,8.681959575,15.56639667,7.504104286,8.897344062,3.55623648,9.124988688,8.726107619,58.85763434
FMPC 5143: tRNA dihydrouridine synthase DusB ,2.863851751,6.143118274,13.09216587,4.938337393,4.15468062,7.563801358,6.742510275,8.508133496,3.082350608,7.322729222,6.837783358,3.599535001,8.106836176,4.269953617,5.548219214,2.413020615,2.41677094,5.393898289,5.562186403,7.534733283,4.621996915,6.295855694,7.134764817,1.86455291,7.982657041
FMPC 6237: ParB/RepB/Spo0J family partition protein ,1.718311051,3.197295476,10.76200057,2.64143628,3.596589193,6.476649481,6.446136197,5.373557997,3.477523763,5.398325979,4.186397974,4.030465248,7.296152558,3.401067707,6.037767968,2.495282682,1.952007298,5.68945436,7.609380009,7.3509593,3.870922417,6.480253141,6.158428579,0.932276455,9.833707949
FMPC 6299: calcium/sodium antiporter ,1.063716365,2.981747466,1.849718848,1.263295612,1.364223487,1.410984351,1.259589832,1.847160562,1.633382373,4.223690234,0.697732996,0.380232571,4.341080017,1.737771821,3.492114447,1.124248241,0.44152546,4.174729498,2.16307249,2.480948764,2.773198149,10.1155171,2.929008715,0.186455291,4.078096532
FMPC 6380: sugar ABC transporter permease ,0.450033847,1.832158082,0.864803617,0.976182973,1.302213329,1.61916237,2.296899105,1.343389499,0.711311679,4.598573982,2.128085637,1.115348874,2.928921457,2.606657732,2.904655942,0.959724108,0.976003649,2.955560706,2.085819901,2.817867732,3.235397841,3.161099093,4.168204709,0.447492698,3.210416419
FMPC 6587: L(+)-tartrate dehydratase subunit alpha ,3.068412591,10.45407847,26.68880051,11.25481545,7.87529013,8.650953236,5.297686645,10.80309056,2.476418437,10.12186121,6.419143561,4.993721093,11.87259234,5.387092645,6.396770388,2.275917171,0.906289103,8.755848593,6.296085998,15.59015952,9.446206196,14.33031589,9.575605413,4.325762751,11.62691352
FMPC 6680: 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA ,3.886655948,10.49000313,20.80333145,9.704407202,8.743432349,11.14908946,13.29978675,12.93012393,6.717943633,9.197147964,8.651889147,6.514651375,12.00334776,5.734647009,6.755772808,6.142234294,3.764585503,8.275569978,10.31322062,9.280586116,6.355245759,20.38908915,9.988670744,3.952852169,15.44470601
FMPC 7223: AraC family transcriptional regulator ,2.741115248,3.915788841,9.152504947,7.062970922,8.185340923,9.090440165,10.92879413,5.20563431,6.955047526,9.347101464,3.558438278,4.207907114,14.14773668,4.394080176,7.277958146,3.016275769,0.952765467,6.465289045,7.261743359,10.01568205,7.337420103,14.75179577,12.35440855,3.766396878,5.639920736
FMPC 7787: protein jag ,2.209257065,2.514726779,8.960326365,2.354323641,2.790457133,4.950010675,5.112452846,3.806270248,2.845246715,6.947845473,2.895591932,2.458837289,6.250109181,3.028688031,4.308029037,2.413020615,2.230865483,5.504731816,5.948449347,4.012398618,3.004297995,13.77712355,5.332297916,1.678097619,9.052795848
FMPC 8109: AraC family transcriptional regulator ,2.618378744,4.418734197,9.705018369,4.364112114,6.883127594,12.12058689,9.558064016,6.269150997,5.980287077,7.82257422,4.186397974,3.802325705,11.16651306,4.394080176,6.853682559,2.604965437,0.929527285,5.504731816,6.798227826,10.04631104,7.452970026,10.90579187,14.90790333,2.535791958,6.218374144
FMPC 8862: transcriptional regulator ,0.736419022,0.467020688,1.681562589,0.401957695,0.620101585,2.08178019,2.667366702,1.511313187,3.056005731,5.998139977,0.907052894,1.825116338,2.77201495,1.638470574,2.610926689,0.548413776,0.557716371,2.955560706,1.158788834,2.021513808,4.333122108,1.712262009,4.468615859,0.745821164,2.227045624
FMPC 9043: lantibiotic immunity ABC transporter MutG family permease subunit ,0.531858182,8.837468394,21.69215739,6.488745644,4.030660303,7.84137205,0.481607877,4.925761498,3.266764747,2.67417074,3.558438278,2.991162888,10.9311533,3.028688031,3.590024197,2.056551661,0.464763642,6.391400028,6.527843764,12.5578888,4.564221954,10.24722956,7.698035724,1.678097619,9.689094597
FMPC 9045: conjugal transfer protein TraD ,107.4353528,98.43359106,93.06247812,172.7269637,40.24459287,69.78589816,148.4463663,107.5271345,73.02799902,118.7881638,102.2527705,101.4967475,115.0124694,139.1210469,89.65269518,127.7529892,106.2449686,101.8190663,69.83634039,58.40949744,39.17142386,22.25940611,117.5358625,23.45607561,42.08248549
FMPC 10832: DUF4141 domain-containing protein ,183.4092486,116.1085278,111.295421,254.7837559,70.44354006,109.9642558,151.1507798,148.5564888,91.6011373,137.1824597,137.5580601,142.6379116,113.1557424,192.0982622,110.5727453,183.2524633,118.9562543,119.8479866,134.8057677,92.34642621,77.82287306,33.77107531,153.2096866,92.36995116,49.48668912
FMPC 10945: conjugative transposon protein TraK ,317.314774,198.9148882,186.9657375,287.0552166,139.646877,206.8595583,310.6000338,328.3467835,119.9482249,261.5938797,246.8230472,244.6923335,217.2893606,338.542776,165.7938448,386.384926,189.3679461,241.7648658,288.7315511,164.2326824,135.8289343,66.14599852,257.2645988,123.4334026,91.16425723
FMPC 11012: *hhblits annotated* acyl-CoA dehydrogenase family protein db:Uniclust30_2023 e-value:0.68 ,4.418514131,5.101302894,0,1.492985723,0.682111744,4.302345727,0,0.839618437,0.843036064,0,0.418639797,0,1.569065066,0,0.620095089,1.453296507,0.580954553,2.84472718,8.227400721,0,4.102022262,0.553192341,0.675925088,0,0
FMPC 11404: flavin reductase family protein ,1.881959722,2.119555428,5.212844025,1.607830779,2.232365706,2.729445138,5.223593125,2.742753561,1.633382373,4.148713484,2.302518886,2.129302395,4.41953327,2.358404614,4.308029037,3.071117147,1.440767291,4.248618516,2.433456551,4.073656612,2.744310668,6.348540679,3.642485196,0.745821164,3.326107101
FMPC 12239: DUF5069 domain-containing protein ,0,6.502364957,0,0,0,2.475005337,0.222280559,4.589914123,0,0,5.163224168,0,0.496870604,0,0,0.767779287,0,0,4.210266097,0.581950945,0,0,0,0.671239048,32.42231356
FMPC 12392: tRNA adenosine(34) deaminase TadA ,2.045608394,5.81979626,6.990495904,4.076999475,4.216690778,5.620806514,7.335258431,5.42953256,1.92317602,3.798821985,5.093450869,2.433488451,6.563922194,2.184627432,3.753207115,2.056551661,1.045718195,3.177227759,5.755317875,5.084413516,2.715423188,16.75382519,5.595157673,1.04414963,6.970363576
FMPC 12458: transcription termination/antitermination protein NusG ,3.477534269,10.56185247,17.82456344,10.16378742,4.836792363,11.19535125,9.224643179,9.29177737,3.978076426,5.623256228,7.256423156,4.25860479,13.07554222,4.394080176,6.135677719,5.319613629,4.438492785,5.948065922,11.12437281,11.11832594,6.499683162,23.65555821,7.998446874,2.051008201,11.30876414
FMPC 12749: lysozyme ,105.3079201,78.60317417,64.90831592,168.305429,44.52329381,60.90363601,105.1387042,157.9042407,77.21683446,88.47256466,105.6367756,92.97953791,100.5509197,131.3755497,97.87711426,194.3304216,70.87645546,83.60542348,136.1963143,64.0452329,50.11977905,27.55424709,130.078028,31.36177995,45.32182458
FMPC 13210: DUF3872 domain-containing protein ,154.3616094,106.8758881,87.12896442,196.4424677,81.72938891,123.2413873,163.7466781,116.8189119,79.66690802,141.306181,125.4523926,147.5302374,122.2824708,181.4233781,93.43853888,189.0656494,96.43845579,100.0087854,112.8274061,86.43502977,61.5881089,42.99094767,143.9344923,25.13417323,63.86125633
FMPC 16289: YdcP family protein ,2.250169233,1.939932087,14.6055722,2.584013752,3.286538401,17.85704786,11.55858904,5.597456247,5.348010029,11.14654346,3.767758177,3.650232677,4.968706043,1.986024938,9.30142633,4.058261944,6.901740089,17.77030875,8.420532193,7.902281248,4.939759203,5.294840981,6.909456455,0.671239048,8.242961075
FMPC 16437: DUF4133 domain-containing protein ,0.695506854,3.053596803,0,0.631647806,1.178193012,1.61916237,1.222543072,0.895593,0.869380941,0,4.395717873,0.25348838,0.496870604,0.620632793,0.163182918,0.877462042,3.601918228,2.290559547,7.377622243,3.614221656,3.466497686,0.921987235,0.262859756,0,0
FMPC 16602: DUF4133 domain-containing protein ,129.5688357,73.82519329,61.08876661,112.6629996,53.32873631,74.20389834,84.94822011,99.46679751,56.9049343,93.44602239,93.70554133,97.89721249,108.4746983,136.0923589,74.73777647,130.412796,72.73551003,74.55401882,81.77186538,56.23483865,49.10871722,25.57856016,95.15523183,49.93272693,42.89232026
FMPC 16899: MobC family plasmid mobilization relaxosome protein ,6.709595532,8.262673702,0,1.378140668,1.550253963,2.937623158,0,1.455338624,0.605932171,0,0.662846346,0,2.275144346,0,0,1.124248241,3.06744004,1.662502897,8.845421432,0.581950945,4.968646684,0.500507356,0.826130663,0,0
FMPC 17735: 30S ribosome-binding factor RbfA ,7.446014553,6.610138962,0,5.569985199,2.356386023,4.024775035,0.740935195,2.742753561,2.18662479,0,4.988790919,3.472790811,2.955072542,2.606657732,2.872019358,2.659806815,4.368778238,3.916117936,7.029985592,7.259072309,2.310998458,2.607906752,3.342074046,0,1.127984147
FMPC 18808: TraL conjugative transposon family protein ,46.02618886,35.8887436,24.9832156,92.50769232,20.95943357,33.21595948,58.20045957,37.61490598,29.16377883,49.43467031,39.98010065,41.67348973,37.70986376,64.91819017,36.81406632,58.59801199,33.32355316,37.16617588,28.5834579,24.31942368,17.65025072,9.852092173,52.60950268,9.621093016,17.32467959
FMPC 18821: *hhblits annotated* Putative yahA  db:Pdp70 e-value:1.2e-25 ,44.30787781,33.15846881,38.5318056,83.95173568,26.97441895,33.30848305,50.23540623,37.33503317,31.27136899,55.80769403,38.96838781,50.39349001,40.1680657,74.35180863,39.78399542,95.72562464,50.05504428,42.04285105,31.82806664,31.02717405,22.50334748,12.38097145,58.35486593,12.79083296,18.51050908
FMPC 19500: *hhblits annotated* WAC domain-containing protein (Fragment) db:Uniclust30_2023 e-value:1.4e-05 ,4.05030462,5.173152231,0,6.259055533,1.24020317,3.099539395,0,2.294957061,0.895725818,0,3.558438278,3.422093135,2.405899768,2.01085025,2.415107187,1.892027528,4.089920053,3.140283251,4.364771274,7.657249271,1.271049152,2.528879274,2.177980839,0,0.867680113
"FMPC 20601: *hhblits annotated* WD domain, G-beta repeat protein (Fragment) db:Uniclust30_2023 e-value:0.64 ",40.25757319,28.12901526,31.87762222,90.72759396,24.99009388,34.16432601,43.97450383,30.45016198,24.97494339,43.86139858,38.34042812,50.54558304,34.04871194,61.71572496,34.75796155,77.16181831,45.70950423,35.54061749,28.23582125,25.78961554,16.46586401,10.87944938,50.6568302,9.807548307,17.29575692
FMPC 21467: ferredoxin ,0,1.939932087,0,0,0,0.508879602,0.444561117,1.063516687,0,0,1.814105789,0,0.313813013,0,0,0.411310332,0,0,1.776809545,0.245031977,0,0,0,0.41020164,12.78382033
